1538183672909402_1541895645871538,'Thanks  big  fan here',Positive,0.880859
1540621789332257_1540637829330653,'Reminded of trika butterfly',Positive,0.880859
1540621789332257_1540640095997093,'BEST WISHES FOR CELEBRATING... 34 YEARS..OF TOUCHING LIVES .......Thankyou Apollo Hospitals..',Positive,0.880859
1540621789332257_1540672129327223,'Congrats',Positive,0.880859
1540621789332257_1540753779319058,'Congrats',Positive,0.880859
1540621789332257_1540781092649660,'Congratulations',Positive,0.880859
1540621789332257_1541729175888185,'Congratulations Apollo hospital...',Positive,0.880859
1540621789332257_1541754942552275,'I will never forget the first class treatment Apollo Chennai gave me. It was home away from home.',Positive,0.880859
1540621789332257_1542346075826495,"""Best wishes..and I'm so happy that I was a part of Apollo in touching lives...""",Negative,0.998047
1538180652909704_1539762569418179,'Good Information which will help in curing problems of the bones.. Especially joint pains and other related issues.',Positive,0.880859
1538178192909950_1538838052843964,'Good information',Positive,0.880859
1538381189556317_1538381606222942,':) <3',Positive,0.880859
1538381189556317_1538412876219815,'This  is only for brain...ah ...',Positive,0.880859
1538381189556317_1539176846143418,'Irritating management',Positive,0.880859
1538173556243747_1538214119573024,'thanks for keep up info',Positive,0.880859
1537256943002075_1537257083002061,':) <3',Positive,0.880859
1533042046756898_1536145229779913,'posts  about  are why  everyone likes social media',Positive,0.880859
1533040316757071_1534603559934080,'Important Info !',Positive,0.880859
1533040316757071_1534965379897898,"""Apollo I'm coming soon""",Negative,0.998047
1533051526755950_1534643473263422,'Great!  I love',Positive,0.880859
1533051526755950_1538090752918694,'Good Healthy Tips to beat the rains .........',Positive,0.880859
1533030356758067_1533145436746559,'pls i want to make enquiry for my baby',Positive,0.880859
1524251377635965_1532417676819335,"""Hi Apollo Doctor's ! I have had a very BAD experience with doctors secretary at Apollo Greams Chennai... (1) Doctors charge 1000 and be either in phone or in other personal calls while we attend them.(2) The secretary accept only cash and no credit cards or other means of health card. Not sure if this is the policy of Apollo hospital that they only take cash. The secretary says this is as per instruction from doctor. (3) The doctor fees of  to be paid first before even you can see the doctor. Are these as per the ethics ?? Or is it only Money matters and not patients first?? I have decided not to go anymore to Greams because of such money minded secretaries and doctors that ruin the medicine culture and breach of medical ethics.""",Negative,0.998047
1533209026740200_1533212710073165,"""Congratulations ma'am""",Negative,0.998047
1533209026740200_1533221033405666,'Congratulations madam',Positive,0.880859
1533209026740200_1533223163405453,"""Congrats ma'am., you deserve the best..""",Negative,0.998047
1533209026740200_1533223333405436,'Congratulations Madam Stay Blessed:)',Positive,0.880859
1533209026740200_1533685833359186,"""Congratulations Ma'm""",Negative,0.998047
1533209026740200_1534076563320113,'Congratulations Madam....',Positive,0.880859
1533209026740200_1536252303102539,'Hearty Congratulations!!',Positive,0.880859
1531353606925742_1531358580258578,'I m 36 yrs... My weight 79 kg.. So how can I control my diet?',Positive,0.880859
1531353606925742_1531358673591902,'Ankylosis spondylitis treatment natura',Positive,0.880859
1531353606925742_1531361726924930,'Hi madam',Positive,0.880859
1531353606925742_1531362006924902,'Recently my father took treatment in apollo',Positive,0.880859
1531353606925742_1531362653591504,'Mam dry mouth. Salivary glands not released sufficient.. How to become healthier',Positive,0.880859
1531353606925742_1531363790258057,"'I am 24 yrs, my weight 88kg.. So how to control my diet..'",Positive,0.880859
1531353606925742_1531363806924722,'Hi Mam',Positive,0.880859
1531353606925742_1531364310258005,'I have hair loss problem and my age is 26 and weight only 45 what should I do... Hair loss problem is very important',Positive,0.880859
1531353606925742_1531364343591335,'In spite of dieting m not able to loose weight \nCan u please advice something on this?',Positive,0.880859
1531353606925742_1531364706924632,'So mam please tell me a diet chart',Positive,0.880859
1531353606925742_1531364933591276,"""Hello ma'am, I am 23 years old and I have hyperthyroidism, can you please tell me what kind of diet should I follow?""",Negative,0.998047
1531353606925742_1531365100257926,"'Hello Doctor, my concern is having late night snacks is good for my health or not?'",Positive,0.880859
1531353606925742_1531365146924588,"""Hi Ma'am,                                                                                                               What should be the ideal water consumption in a day? And, is there any particular food that can stop the snack cravings and help to loose the belly fat?""",Negative,0.998047
1531353606925742_1531368240257612,"""Hi ma'am, Can you please tell me more about anti-inflammatory diet""",Negative,0.998047
1531353606925742_1531369720257464,'Hi I am Divya Aswani hight is 5.2 & I have rumotiodarthritise for 19 years & my weight is 86 kgs what diet should I take to reduce weight. Pl help me',Positive,0.880859
1531353606925742_1531374980256938,'Hello doctor... Is there any nutritional management for hair growth .',Positive,0.880859
1531353606925742_1531375220256914,"""Hello ma'am \nI am 50 years old\nMy waight 80 kg hight 5'4\nI have thyro gland can u pl ideas""",Negative,0.998047
1531353606925742_1531376576923445,'I m having 2months baby... What to eat to increase milk production..',Positive,0.880859
1531353606925742_1531377203590049,'Hello doctor ..\nCan you please  explain  about  a diet plan of diabetic person . RBS-300mg/dl',Positive,0.880859
1531353606925742_1531377236923379,'Diet for ibs',Positive,0.880859
1531353606925742_1531377836923319,"'Good afternoon Dr, please suggest diet plan for Hypothyroidism'",Positive,0.880859
1531353606925742_1531378660256570,'I am over weight please tell me the diet plan',Positive,0.880859
